c_hlevel;c_fullname;c_name;c_synonym_cd;c_visualattributes;c_totalnum;c_basecode;c_metadataxml;c_facttablecolumn;c_tablename;c_columnname;c_columndatatype;c_operator;c_dimcode;c_comment;c_tooltip;m_applied_path;update_date;download_date;import_date;sourcesystem_cd;valuetype_cd;m_exclusion_cd;c_path;c_symbol
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00074433201\;NDC:00074433201;N;LI ;NULL;NDC:00074433201;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00074433201\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00074433201;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00074433201:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00074653449\;NDC:00074653449;N;LI ;NULL;NDC:00074653449;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00074653449\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00074653449;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00074653449:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338355148\;NDC:00338355148;N;LI ;NULL;NDC:00338355148;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338355148\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338355148;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338355148:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338355248\;NDC:00338355248;N;LI ;NULL;NDC:00338355248;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338355248\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338355248;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338355248:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358048\;NDC:00338358048;N;LI ;NULL;NDC:00338358048;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358048\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338358048;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338358048:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358101\;NDC:00338358101;N;LI ;NULL;NDC:00338358101;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358101\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338358101;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338358101:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358201\;NDC:00338358201;N;LI ;NULL;NDC:00338358201;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358201\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338358201;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338358201:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358301\;NDC:00338358301;N;LI ;NULL;NDC:00338358301;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00338358301\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00338358301;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00338358301:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00409653401\;NDC:00409653401;N;LI ;NULL;NDC:00409653401;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00409653401\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00409653401;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00409653401:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00409653449\;NDC:00409653449;N;LI ;NULL;NDC:00409653449;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00409653449\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00409653449;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00409653449:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\15082061225\;NDC:15082061225;N;LI ;NULL;NDC:15082061225;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\15082061225\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:15082061225;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:15082061225:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\15082061415\;NDC:15082061415;N;LI ;NULL;NDC:15082061415;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\15082061415\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:15082061415;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:15082061415:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200060807\;NDC:24200060807;N;LI ;NULL;NDC:24200060807;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200060807\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200060807;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200060807:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061010\;NDC:24200061010;N;LI ;NULL;NDC:24200061010;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061010\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200061010;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200061010:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061207\;NDC:24200061207;N;LI ;NULL;NDC:24200061207;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061207\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200061207;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200061207:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061510\;NDC:24200061510;N;LI ;NULL;NDC:24200061510;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061510\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200061510;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200061510:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061710\;NDC:24200061710;N;LI ;NULL;NDC:24200061710;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200061710\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200061710;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200061710:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200062113\;NDC:24200062113;N;LI ;NULL;NDC:24200062113;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\24200062113\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:24200062113;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:24200062113:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\313574\;Retired RxCUI:313574;N;LI ;NULL;RXNORM:313574;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\313574\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin\Vancomycin Injection\200 ML Vancomycin 5 MG/ML Injection\Retired RxCUI:313574;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:313574:retired:scd/sbd;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\52533007018\;NDC:52533007018;N;LI ;NULL;NDC:52533007018;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\52533007018\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:52533007018;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:52533007018:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\52533007076\;NDC:52533007076;N;LI ;NULL;NDC:52533007076;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\52533007076\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:52533007076;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:52533007076:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000101\;NDC:61553000101;N;LI ;NULL;NDC:61553000101;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000101\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:61553000101;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:61553000101:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000902\;NDC:61553000902;N;LI ;NULL;NDC:61553000902;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000902\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:61553000902;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:61553000902:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000917\;NDC:61553000917;N;LI ;NULL;NDC:61553000917;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553000917\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:61553000917;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:61553000917:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553001502\;NDC:61553001502;N;LI ;NULL;NDC:61553001502;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553001502\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:61553001502;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:61553001502:ndc:ndc;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553003301\;NDC:61553003301;N;LI ;NULL;NDC:61553003301;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\61553003301\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:61553003301;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:61553003301:ndc:ndc;MEDS;NULL;NULL;NULL
8;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807510\;150 Ml Vancomycin 5 Mg/Ml Injection;N;FA ;NULL;RXNORM:1807510;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807510\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin\Vancomycin Injection\150 Ml Vancomycin 5 Mg/Ml Inje;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:1807510:undefined:SCD;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807510\00002746712\;NDC:00002746712;N;LI ;NULL;NDC:00002746712;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807510\00002746712\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection150 ML Vancomycin 5 MG/ML Injection\150 ML Vancomycin 5 MG/ML Injection\NDC:00002746712;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00002746712:ndc:ndc;MEDS;NULL;NULL;NULL
